word,weight
phone,3319.0
baton,3319.0
cyber,3316.0
fiber,3315.0
fibre,3315.0
craft,3315.0
brief,3315.0
aloud,3314.0
hyper,3314.0
beady,3312.0
plain,3311.0
rapid,3311.0
lumen,3310.0
demur,3310.0
broad,3309.0
board,3309.0
aware,3308.0
chafe,3308.0
debit,3308.0
twice,3306.0
stalk,3306.0
impel,3306.0
buyer,3306.0
essay,3306.0
lunge,3305.0
abhor,3304.0
sharp,3304.0
money,3304.0
stoic,3301.0
globe,3299.0
coupe,3299.0
apple,3298.0
lapel,3298.0
dowel,3297.0
track,3295.0
chute,3295.0
mason,3294.0
latch,3293.0
whole,3292.0
tramp,3291.0
rhino,3290.0
clued,3290.0
foray,3289.0
voice,3289.0
adult,3288.0
shorn,3288.0
retry,3287.0
askew,3287.0
decoy,3284.0
frost,3283.0
today,3282.0
rodeo,3282.0
order,3282.0
odder,3282.0
glaze,3282.0
erode,3282.0
crier,3281.0
tiara,3279.0
trait,3279.0
cress,3279.0
scree,3279.0
purge,3278.0
voila,3277.0
start,3277.0
viola,3277.0
leery,3277.0
salvo,3275.0
demon,3273.0
randy,3273.0
mince,3272.0
crawl,3271.0
piney,3271.0
dwelt,3271.0
curio,3270.0
ebony,3269.0
boney,3269.0
scaly,3269.0
surer,3269.0
chaos,3269.0
reuse,3269.0
giver,3268.0
scour,3268.0
audio,3266.0
giant,3265.0
stork,3263.0
angst,3263.0
rhyme,3263.0
evict,3263.0
sloth,3261.0
fetid,3257.0
deter,3256.0
biome,3256.0
align,3255.0
scarf,3255.0
slang,3253.0
marsh,3253.0
thief,3252.0
blaze,3252.0
agate,3252.0
vegan,3251.0
vital,3251.0
there,3251.0
ether,3251.0
three,3251.0
torch,3250.0
worst,3249.0
hovel,3249.0
flirt,3249.0
field,3247.0
elder,3246.0
waist,3244.0
crust,3242.0
eagle,3242.0
print,3242.0
algae,3242.0
legal,3242.0
whose,3242.0
pilot,3241.0
truly,3240.0
flesh,3240.0
audit,3240.0
shelf,3240.0
maize,3239.0
spend,3238.0
scald,3238.0
maybe,3234.0
spoke,3234.0
clash,3233.0
derby,3233.0
draft,3232.0
noose,3232.0
waive,3232.0
curve,3230.0
warty,3229.0
grasp,3226.0
braid,3225.0
rabid,3225.0
adopt,3224.0
abate,3222.0
epoch,3221.0
repel,3219.0
aptly,3219.0
leper,3219.0
brash,3218.0
white,3218.0
minor,3217.0
eying,3215.0
twirl,3215.0
bilge,3215.0
hoist,3213.0
wield,3213.0
quote,3213.0
label,3212.0
ovary,3212.0
groin,3212.0
about,3211.0
scalp,3211.0
prize,3211.0
clasp,3211.0
while,3208.0
solid,3208.0
tonic,3207.0
boxer,3206.0
tense,3206.0
welsh,3206.0
video,3206.0
fairy,3205.0
urban,3202.0
blend,3202.0
vista,3201.0
dicey,3200.0
first,3199.0
shove,3199.0
roger,3199.0
gorge,3199.0
linen,3198.0
dried,3198.0
rider,3198.0
badge,3198.0
drier,3198.0
bloke,3198.0
masse,3197.0
dress,3196.0
snout,3195.0
soapy,3195.0
loamy,3194.0
octet,3194.0
swept,3194.0
coven,3193.0
wrath,3193.0
choir,3192.0
lyric,3192.0
sheer,3191.0
hasty,3191.0
posit,3191.0
gnome,3190.0
rusty,3190.0
angry,3190.0
front,3189.0
denim,3189.0
drawl,3188.0
daily,3188.0
sadly,3186.0
exult,3185.0
cello,3184.0
deign,3184.0
below,3184.0
elbow,3184.0
bowel,3184.0
faint,3184.0
smoke,3183.0
robin,3182.0
allot,3182.0
total,3182.0
atoll,3182.0
spoil,3181.0
surly,3180.0
vicar,3180.0
hinge,3179.0
skirt,3179.0
neigh,3179.0
heavy,3179.0
meter,3178.0
tubal,3175.0
aunty,3175.0
rerun,3175.0
basin,3175.0
dopey,3174.0
final,3174.0
egret,3173.0
greet,3173.0
sheik,3172.0
glove,3171.0
riper,3171.0
piper,3171.0
devil,3170.0
pasty,3169.0
spree,3169.0
patsy,3169.0
press,3169.0
tumor,3167.0
wrist,3165.0
chide,3164.0
modal,3163.0
stank,3162.0
claim,3162.0
grout,3162.0
abase,3162.0
fella,3161.0
until,3161.0
unlit,3161.0
focal,3160.0
grand,3159.0
palsy,3159.0
froze,3158.0
elect,3158.0
spilt,3155.0
split,3155.0
swirl,3155.0
vapor,3154.0
apnea,3154.0
endow,3153.0
stony,3153.0
wince,3152.0
lurid,3151.0
knave,3150.0
afoul,3150.0
spike,3150.0
graft,3149.0
chant,3149.0
mauve,3148.0
newly,3148.0
detox,3148.0
visor,3148.0
tulle,3148.0
clout,3147.0
shark,3147.0
sonic,3147.0
scion,3147.0
dunce,3146.0
femur,3146.0
befit,3144.0
daunt,3144.0
beret,3143.0
vague,3143.0
envoy,3141.0
crank,3141.0
cloak,3140.0
moist,3140.0
chard,3139.0
haunt,3139.0
daisy,3138.0
perky,3135.0
rebel,3133.0
spurt,3132.0
corny,3132.0
toast,3132.0
turbo,3132.0
crony,3132.0
plaid,3130.0
quiet,3129.0
quite,3129.0
brand,3129.0
movie,3128.0
quest,3127.0
joker,3125.0
spark,3125.0
fault,3124.0
lasso,3122.0
slurp,3122.0
amity,3120.0
micro,3119.0
dirty,3119.0
offer,3118.0
rarer,3112.0
depth,3112.0
glory,3110.0
gaily,3105.0
debut,3104.0
quart,3104.0
fiend,3103.0
troll,3103.0
enema,3103.0
plume,3102.0
belch,3099.0
scout,3097.0
point,3097.0
pinto,3097.0
anvil,3097.0
blurt,3096.0
stall,3096.0
hello,3096.0
zesty,3096.0
sworn,3095.0
noisy,3095.0
thyme,3092.0
round,3091.0
medic,3091.0
china,3091.0
chain,3091.0
incur,3090.0
oxide,3090.0
admit,3089.0
locus,3087.0
hardy,3087.0
chime,3086.0
carat,3085.0
tract,3085.0
bribe,3085.0
leave,3084.0
wooer,3084.0
valve,3084.0
crisp,3084.0
rower,3084.0
third,3083.0
vocal,3083.0
cache,3078.0
basic,3077.0
recur,3077.0
guide,3076.0
brawl,3075.0
preen,3075.0
women,3075.0
elope,3074.0
flour,3071.0
binge,3071.0
being,3071.0
begin,3071.0
fixer,3071.0
empty,3070.0
widen,3069.0
panic,3069.0
cloth,3069.0
zonal,3068.0
bravo,3068.0
bacon,3067.0
rural,3065.0
choke,3064.0
stack,3064.0
whine,3064.0
march,3061.0
charm,3061.0
gaunt,3061.0
clang,3061.0
harpy,3060.0
swarm,3060.0
stamp,3060.0
drank,3058.0
fetch,3058.0
testy,3056.0
vowel,3056.0
peace,3056.0
query,3054.0
slack,3054.0
throb,3054.0
foist,3054.0
broth,3054.0
diode,3053.0
torso,3053.0
roost,3053.0
guard,3051.0
psalm,3050.0
habit,3049.0
helix,3049.0
vault,3047.0
burst,3046.0
agony,3045.0
drawn,3044.0
bused,3044.0
horny,3044.0
covey,3043.0
sandy,3042.0
ingot,3041.0
rover,3041.0
issue,3040.0
forty,3039.0
cramp,3039.0
lousy,3035.0
ratty,3033.0
totem,3033.0
venom,3032.0
login,3031.0
prank,3031.0
lingo,3031.0
gauze,3030.0
polka,3030.0
bicep,3029.0
ardor,3028.0
circa,3027.0
pixel,3027.0
girly,3026.0
crass,3025.0
steed,3025.0
posse,3024.0
rally,3023.0
tithe,3022.0
feign,3020.0
sheet,3020.0
waxen,3020.0
these,3020.0
tangy,3019.0
green,3019.0
genre,3019.0
nomad,3019.0
caput,3019.0
manic,3018.0
axion,3017.0
favor,3017.0
prawn,3017.0
hotly,3017.0
saucy,3017.0
elide,3017.0
wreck,3016.0
pansy,3015.0
enjoy,3015.0
gonad,3014.0
scold,3014.0
manly,3014.0
welch,3014.0
mourn,3013.0
bugle,3011.0
bulge,3011.0
shell,3010.0
lusty,3009.0
shout,3009.0
primo,3009.0
south,3009.0
hefty,3006.0
mirth,3005.0
revel,3005.0
glint,3005.0
lever,3005.0
mecca,3005.0
creed,3004.0
payee,3004.0
count,3003.0
froth,3003.0
forth,3003.0
natal,3002.0
right,3000.0
eking,3000.0
chief,3000.0
girth,3000.0
optic,2999.0
topic,2999.0
yacht,2999.0
cheer,2999.0
cavil,2999.0
faith,2998.0
steep,2998.0
sewer,2998.0
fruit,2997.0
dozen,2997.0
shaft,2996.0
ahead,2995.0
ruder,2994.0
udder,2994.0
gauge,2990.0
spell,2988.0
sleep,2988.0
curly,2988.0
spout,2987.0
trick,2987.0
moult,2986.0
gecko,2986.0
flash,2986.0
cabin,2983.0
grunt,2982.0
savoy,2981.0
nudge,2980.0
gland,2978.0
spurn,2978.0
crepe,2977.0
creep,2977.0
major,2977.0
duvet,2976.0
apart,2975.0
moose,2973.0
fraud,2970.0
birth,2970.0
woken,2969.0
throw,2969.0
worth,2969.0
imbue,2968.0
goose,2968.0
upper,2967.0
purer,2967.0
puree,2967.0
rupee,2967.0
disco,2966.0
croup,2966.0
flume,2965.0
world,2964.0
betel,2962.0
swath,2962.0
aglow,2960.0
clank,2960.0
quota,2959.0
river,2957.0
speck,2956.0
niece,2956.0
bench,2955.0
verse,2955.0
sever,2955.0
serve,2955.0
sting,2955.0
scene,2954.0
taint,2954.0
titan,2954.0
edify,2953.0
tulip,2953.0
reedy,2952.0
brunt,2952.0
lurch,2952.0
borax,2952.0
shawl,2952.0
avoid,2952.0
dryer,2952.0
burnt,2952.0
bison,2951.0
aroma,2950.0
armor,2950.0
bland,2948.0
graph,2946.0
ennui,2946.0
sigma,2946.0
sling,2945.0
agora,2945.0
ensue,2944.0
radii,2944.0
rumba,2943.0
given,2943.0
umbra,2943.0
nasal,2942.0
patch,2941.0
obese,2938.0
hymen,2938.0
harsh,2937.0
prowl,2937.0
smell,2937.0
mango,2936.0
among,2936.0
admin,2935.0
liege,2934.0
logic,2933.0
gusto,2931.0
brawn,2931.0
local,2930.0
creme,2926.0
tenth,2926.0
notch,2925.0
midge,2925.0
flint,2924.0
drift,2924.0
prism,2923.0
gnash,2923.0
donut,2920.0
knife,2919.0
vogue,2919.0
tunic,2919.0
sprig,2918.0
abbey,2918.0
quake,2918.0
adage,2917.0
mocha,2916.0
macho,2916.0
valid,2916.0
chord,2915.0
arbor,2915.0
sword,2914.0
alarm,2914.0
woven,2912.0
beset,2912.0
fleet,2911.0
index,2910.0
snack,2910.0
lanky,2908.0
prong,2908.0
sumac,2908.0
bayou,2907.0
belie,2904.0
libel,2904.0
tawny,2904.0
ivory,2904.0
newer,2904.0
bible,2904.0
pesky,2904.0
renew,2904.0
whelp,2904.0
vaunt,2903.0
crown,2903.0
aping,2903.0
crush,2902.0
bless,2902.0
flout,2900.0
exert,2899.0
unfed,2899.0
crypt,2898.0
guilt,2897.0
frank,2894.0
match,2890.0
agape,2890.0
error,2888.0
porch,2888.0
datum,2885.0
siege,2884.0
proud,2883.0
thank,2882.0
growl,2881.0
trunk,2881.0
loyal,2878.0
alloy,2878.0
juice,2875.0
whirl,2875.0
risky,2875.0
merry,2874.0
scuba,2873.0
squat,2873.0
stool,2872.0
dense,2871.0
wench,2870.0
topaz,2870.0
fleck,2869.0
begun,2867.0
built,2867.0
unity,2867.0
sheen,2866.0
unwed,2865.0
quail,2865.0
laugh,2865.0
hydro,2863.0
never,2861.0
tipsy,2861.0
nerve,2861.0
sound,2860.0
virus,2860.0
grass,2859.0
fluke,2859.0
clamp,2858.0
lofty,2858.0
snaky,2858.0
shady,2856.0
attic,2856.0
tacit,2856.0
cacti,2856.0
batch,2855.0
stink,2854.0
frond,2854.0
cycle,2854.0
ghost,2853.0
briny,2852.0
tally,2852.0
caulk,2852.0
grind,2851.0
joist,2851.0
trout,2851.0
tutor,2851.0
color,2851.0
plank,2850.0
candy,2850.0
lilac,2846.0
iliac,2846.0
class,2844.0
slink,2844.0
mount,2842.0
stock,2840.0
berry,2839.0
shirk,2839.0
greed,2838.0
stomp,2836.0
usual,2834.0
madly,2833.0
rabbi,2831.0
sleek,2831.0
swami,2831.0
briar,2831.0
chasm,2830.0
arrow,2830.0
shunt,2829.0
scrum,2829.0
brass,2829.0
syrup,2828.0
gourd,2827.0
humor,2827.0
sweet,2827.0
annex,2824.0
etude,2823.0
rough,2822.0
shank,2822.0
crazy,2821.0
woman,2821.0
creek,2820.0
drown,2820.0
tacky,2820.0
light,2819.0
leech,2818.0
synod,2818.0
epoxy,2817.0
swell,2817.0
touch,2817.0
scowl,2816.0
wagon,2816.0
quasi,2815.0
elude,2813.0
cloud,2812.0
could,2812.0
input,2809.0
churn,2808.0
scamp,2808.0
breed,2808.0
flask,2807.0
amply,2806.0
chirp,2804.0
eerie,2804.0
tasty,2802.0
gamut,2802.0
thrum,2801.0
cross,2801.0
group,2800.0
aphid,2800.0
slimy,2800.0
weigh,2800.0
spank,2800.0
lorry,2799.0
badly,2798.0
jerky,2795.0
scrub,2794.0
semen,2793.0
sally,2792.0
burly,2792.0
genie,2790.0
vigor,2790.0
twang,2790.0
ferry,2788.0
still,2788.0
stilt,2788.0
spawn,2786.0
canon,2786.0
truck,2783.0
carry,2781.0
teddy,2781.0
friar,2780.0
trump,2779.0
midst,2779.0
jaunt,2777.0
junta,2777.0
smith,2774.0
chalk,2774.0
blunt,2771.0
watch,2770.0
sight,2769.0
droll,2768.0
drool,2768.0
chess,2768.0
gravy,2768.0
rocky,2767.0
toxin,2767.0
equip,2767.0
pique,2767.0
gouge,2766.0
smirk,2766.0
stash,2766.0
youth,2765.0
trust,2765.0
truss,2765.0
strut,2765.0
month,2764.0
blank,2764.0
handy,2762.0
wrack,2762.0
album,2762.0
salad,2761.0
merge,2760.0
